Company,Position,Connected On
ICICI Bank,"Digital partnerships and product innovations- payments, trade and foreign fintechs",11-May-20
Atharva System,Software Engineer,11-May-20
GO-JEK,Product Engineer,11-May-20
Barclays,Graduate Analyst,11-May-20
Ernst & Young,Executive,11-May-20
Zuci Systems,Client Advisor || Technology Partner - US Region,11-May-20
hudco,Account Executive,11-May-20
Wizklub Learning Pvt Limited,Intern,11-May-20
Harjai Computers,Human Resources Staffing,11-May-20
D. E. Shaw India Private Limited,Summer Intern,11-May-20
OYO,Data Scientist - II,11-May-20
"V.K.R.V. Rao Hostel, University of Delhi","President, Students Welfare Association (SEWA)",11-May-20
Jagtap Enterprises,Owner,11-May-20
Microsoft,Project Specialist,11-May-20
Chegg Inc.,Subject Matter Expert,11-May-20
GlobalLogic,Associate Consultant,11-May-20
Self Employed,Full Stack Engineer,11-May-20
Village Talkies,Full Stack Developer Intern,11-May-20
LitmusWorld,Senior Engineer,11-May-20
"E-Cell, IIIT Lucknow",Social Media Manager,11-May-20
LinkedIn,Software Engineer,11-May-20
Providence India,Software Engineer,11-May-20
JoulestoWatts Business Solutions Pvt Ltd,HR Recruiter ,11-May-20
Techno India Network LLP,Founder,11-May-20
Eaton,Senior Engineer,11-May-20
Huawei Technologies,Human Resources Manager,11-May-20
Altair,Project Trainee,11-May-20
AJM Softwares,Sr. Android Developer,11-May-20
MindsBeam Technologies Inc,Data Engineer,11-May-20
Tata Consultancy Services,Senior Frontend Developer,11-May-20
CenturyLink,Senior Software Engineer,11-May-20
Agriwise,Analyst/Python Developer,11-May-20
,,11-May-20
Cognizant,Associate - Artificial Intelligence and Analytics (AI&A),11-May-20
Emxcel,Junior Product Owner,11-May-20
The BAKERY Shop,Owner,11-May-20
Primenumbers Technologies,Software Development Engineer,11-May-20
O4S (Original4Sure | Supplytics),Senior iOS Developer,11-May-20
Bibloskart,Co-Founder,11-May-20
Airlearn,Founding Software Engineer,11-May-20
Impact Analytics,Data Scientist,11-May-20
"Webgility, Inc.",Senior Recruiter,11-May-20
Ondoor Concepts Private Limited,Process Manager,11-May-20
Kristal.AI,Software Developer,11-May-20
Self employed,Student,11-May-20
,,11-May-20
VoyceFirst,Senior Software Engineer,11-May-20
Alwin Technologies,Means Stack Developer,11-May-20
DataVizz,Data Analyst,11-May-20
AUR,AP Engg.,11-May-20
Scoopearth.com,"Blogger, Growth hacker, Influencer",11-May-20
CubeXS Weatherly (Pvt) Ltd.,Linux Administrator,11-May-20
Microsoft,hr operation advisor ,10-May-20
Self-employed,Self Employed,10-May-20
InMobi,Data scientist 2,10-May-20
Dell Inc,Networking Development Senior Principal Engineer,10-May-20
Credit Systems India,Human Resources Executive,10-May-20
Astorian'z Industries Pvt Limi,Chief Executive Officer,10-May-20
"VisionVoice, Inc.",Advisor,10-May-20
HSBC,Analyst,10-May-20
PayNav,Summer Intern,10-May-20
MAQ Software,Software Engineer 1,10-May-20
,,10-May-20
Coding Blocks,Campus Ambassador,10-May-20
Harman Connected Services Corp India Private Ltd,Talent Acquisition Specialist,10-May-20
BSH Home Appliances Group,Software Engineer Intern,10-May-20
,,10-May-20
,,10-May-20
ZS,Data Science Associate,10-May-20
Arabian Nights Tours LLC,Sr.accountant ,10-May-20
Bright Network,Technology Virtual Internship,10-May-20
BR Softech Pvt. Ltd.,SEO Analyst,10-May-20
Trell,SDE Intern (Backend + Security),10-May-20
BharatPe,Customer Executive,10-May-20
GVK,Engineer,10-May-20
K NETWORKS INNOVATIVE SOLUTIONS PRIVATE LIMITED,Software Engineer,10-May-20
,,10-May-20
Epsilon,Senior Software Engineer,10-May-20
,,10-May-20
Accenture,Associate Software Developer,10-May-20
Cre80✓ Technology,Digital Marketing Manager,10-May-20
Traction on Demand,Program Manager,10-May-20
Danaher Corporation,Software Developer,10-May-20
Tata Consultancy Services,Assistant System Engineer-developer,10-May-20
DXC Technology,Senior Java Consultant,10-May-20
"APPIN Technology Lab, Bhubaneswar",Digital Marketing Coach,10-May-20
Vellore Institute of Technology,Bachelor Student,10-May-20
Shezar Web Technology ,Software Developer,10-May-20
loopncode,"Full Stack Developer, Flutter Dart",10-May-20
Infosys,Senior Project Manager,10-May-20
Tech Mahindra,Associate,10-May-20
Artoon Solutions Pvt Ltd,Graphic Designer,10-May-20
SRKS Software Solutions,Automation Engineer,10-May-20
iByte Infomatics Pvt. Ltd.,Full Stack Developer,10-May-20
,,10-May-20
7 Cups,Listener,10-May-20
Tata Consultancy Services,Assistant System Engineer,10-May-20
HCL Technologies,Technical Lead,10-May-20
AIC,Deputy Manager Recruitment,10-May-20
Nityo Infotech Services,Talent Acquisition Specialist,10-May-20
CGI,Senior Test Engineer,10-May-20
Posiflex Technology (India) Pvt. Ltd.,Assistant Manager- Pre Sales,10-May-20
NXP Semiconductors,ESD/RV Design Engineer,10-May-20
Qualcomm,Associate Software Engineer,10-May-20
"RISCS 2019 , University Of Petroleum and Energy Studies",Research Fellow,10-May-20
ASME-VIT,Coordinator,10-May-20
InfoHerd,Founder,10-May-20
Black Panther Technologies,CEO /Founder /Chairman and Managing Director,10-May-20
Badve Engineering Pvt LTD,Graduate Engineer Trainee,10-May-20
Qualcomm,Senior Engineer,10-May-20
Apollo Hospitals,Patient Care Service ( IPD - Billing ),10-May-20
LAMBDA VISION,Deep Learning Engineer,10-May-20
Mahindra First Choice Wheels Ltd,Module Lead,10-May-20
JNC Group,Manager Sales,10-May-20
GlobalLogic,Azure DevOps Consultant ,10-May-20
Anukai Solutions,Machine Learning Engineer,10-May-20
UST Global,Sr System Analyst ,10-May-20
Encoders Technologies - Mobile App Development & eCommerce Website Development Company,HR Executive,10-May-20
NoConsultant.Com - No Hidden Fees,Co-Founder,10-May-20
,,10-May-20
ZineMind,Oracle HCM Cloud Consultant,10-May-20
Rewinder Techno Electricals,Managing Partner,10-May-20
ArenaCore,Managing Director,10-May-20
,,10-May-20
Vyom Facility India Pvt Ltd ,Managing Director,10-May-20
SmartIMS Inc,Assistant Manager,10-May-20
VSA (INDIA) PRIV LIMITED,Software Tester,10-May-20
Amazon,SDE Intern + PPO,10-May-20
"Parala Maharaja Engineering College, Berhampur",Assisstant Professor,10-May-20
Jio,Network Operations Center Engineer,10-May-20
Arsha Infra Developers Pvt Ltd,Web Developer,10-May-20
Mastercard,"Campus Recruiting Lead, India",10-May-20
GRAVITECH SOLUTIONS PRIVATE LIMITED,Electrical Engineer,10-May-20
EY,Office 365 Consultant,10-May-20
Ford Motor Company,Security & Controls Practitioner,10-May-20
Radisys Corporation,Senior Software Engineer,10-May-20
International Management Institute - IMI,MBA Candidate,10-May-20
Arista Networks,Application Development Engineer,10-May-20
Mentobile Technology(Mobile and Web Apps Development Company),Software Developer,10-May-20
Amazon,Software Development Engineer 2,10-May-20
OffersAtHome.com,Marketing Manager,10-May-20
,,10-May-20
AvGarde Systems,Applications Engineer,10-May-20
Robin Hood Army,Robin,10-May-20
OnGraph Technologies Limited,Digital Marketing Specialist,10-May-20
Celebal Technologies,Associate BI Consultant,10-May-20
IEEE Student Branch at USC,Associate Graduate Chair,10-May-20
The Young Minds,Product Development Intern,10-May-20
Rex Web Solutions,Jr. Software Developer,10-May-20
Robert Bosch Car Multimedia GmbH,Requirements Manager,10-May-20
Tower Research Capital,Software Engineer,10-May-20
,,10-May-20
Brillio,Software Engineer,10-May-20
Josan International,Founder & CEO,10-May-20
Merit Academy-An IIT JU alumni Initiative,Programming Trainer,10-May-20
Hexagon PPM,Software Developer,10-May-20
SLK,Product Development Intern,10-May-20
Nielsen,Trainee Analyst,10-May-20
ThoughtFocus,"Vice President, Global Delivery Head & Head of India Operations",10-May-20
Cognizant,Programmer Analyst,10-May-20
Utilsys - Innovative Systems / Utilsys - Sistemas Inovadores,Consultant in Competitive Intelligence / Consultor em Inteligência Competitiva,10-May-20
Ziegler Aerospace,ADCE Trainee,10-May-20
LinuxWorld Informatics Pvt Ltd,Hybrid Multi Cloud Summer Intern,10-May-20
Amdocs,Software Developer,10-May-20
WNS Global Services,Senior Associate,10-May-20
Renu Broadband,OTT MANAGER ,10-May-20
Amdocs,Senior AWS Architect,10-May-20
Cognizant Technology Solutions,Associate Projects,10-May-20
DevScript,Project Admin at DevScript Winter of Code S01,10-May-20
Myntra,Senior Manager - TA,10-May-20
altraSys Technologies,Full Stack Developer,10-May-20
Industalent RPO,Technical Recruiter,10-May-20
Demux Academy,Student,10-May-20
Punjab National Bank,Assistant General Manager,10-May-20
Birlasoft,Analytics Manager,10-May-20
Developer Student Club UIET KUK ( DSC ),Student Mentor,10-May-20
Cisco,Webex Calling powered by Broadcloud ,10-May-20
Appirio,Software Engineer,10-May-20
,,10-May-20
Paxcom India (P) Ltd - A Paymentus Company,Ecommerce Analyst,10-May-20
Xoriant,Software Engineer - Security Penetration Testing,10-May-20
turtlemint,Point of sale person,10-May-20
PayPal,Head of Global Public Policy,10-May-20
Zenatix Solutions,Senior Executive Human Resources,10-May-20
Aditya Birla Health Insurance Company Limited,Manager - Channel Marketing ,10-May-20
Be Dauntless Foundation,Web Developer,10-May-20
LinkedIN it to WIN it,Manager,10-May-20
Programming Pathshala,Campus Ambassador,10-May-20
Zartek Technologies,Python Developer,10-May-20
,,10-May-20
Vestige Marketing Pvt. Ltd.,Business Consultant,10-May-20
Self employed,C.E.O,10-May-20
Accenture,Application Development Associate,10-May-20
Self-Employed,Video Editor,10-May-20
REGex Software Services,Android Developer,10-May-20
Axtria - Ingenious Insights,Incoming professional at Axtria,10-May-20
ELGI EQUIPMENTS LIMITED,SSE,10-May-20
lifechanger entrepreneurs group ,Entrepreneur,10-May-20
ASPIRING MINDS ASSESSMENT PRIVATE LIMITED,PMKVY Assessor ,10-May-20
Nitor Infotech,Senior Software Engineer,10-May-20
"SHANDONG XINGCHI IMPORT & EXPORT CO., LTD",Product Manager,10-May-20
Fractal Analytics,Analytics Consultant (Sr. Analyst / Consultant - II),10-May-20
Outlook Publishing (India) Pvt. Ltd.,Management Intern,10-May-20
Fyle,Member of Technical Staff II,10-May-20
Data Semantics,Data Scientist,10-May-20
Bootfete 2K19 Tech Symposium,Chairman,10-May-20
3C Technologies,HR-Business Head ,10-May-20
Goldman Sachs,Software Engineer,10-May-20
National Institute for Smart Government,Jr. Consultant - IT,10-May-20
RK University, Student at RK University,10-May-20
Stealth Startup,Building Something Cool,10-May-20
Marlabs Inc.,Associate Software Engineer,10-May-20
IBA InfoTech Inc.,Sr. It Recruiter,10-May-20
,,10-May-20
Think and learn pvt ltd ,Business development,10-May-20
Microsoft,Microsoft Learn Student Ambassador - Alpha α,10-May-20
Confidential,Hr operation ,10-May-20
IndianCyberDude.com,Founder & CEO,10-May-20
Hyderabad Football Academy,Coach - Turfside Branch,10-May-20
ShARE - Growing a new generation of leaders,"Junior Member, Global Economy",10-May-20
"Institute of Management, Nirma University",Placement Coordinator at Corporate Relations Cell ,10-May-20
Meraki Design Studio ,Jr Architect ,10-May-20
3lite,Artificial Intelligence Engineer,10-May-20
Q2ebanking,Senior Software Engineer,10-May-20
"Consulting and Analytics Club, IIT Guwahati",Data Science Summer Program,10-May-20
University of Wolverhampton,Regional Head - South Asia,10-May-20
,,10-May-20
Sulopa,Senior Software Engineer,10-May-20
Script Winter of Code,Program Manager - Open Source ,10-May-20
LowestRate.in,Business Analyst,10-May-20
Icreon,Senior Software Engineer,10-May-20
Trident Group India,Principal Data Scientist,10-May-20
HSBC,Software Engineer,10-May-20
.,.,10-May-20
Vellore Institute of Technology,Student,10-May-20
HCL Technologies,Software Engineer,10-May-20
Virtusa,Associate Consultant-HR,10-May-20
edX,Computer Science Student,10-May-20
Opolistech Solution,Web Designer,10-May-20
Naswiz Team India,Entrepreneur ,10-May-20
Kundi®,Program Manager,10-May-20
Prem Enterprises,Founder and CEO,10-May-20
OdiTek Solutions,Android Developer,10-May-20
Omdena,Jr. Machine Learning Engineer,10-May-20
Business Owner,Entrepreneur,10-May-20
Dycot Pharma,Managing Director,10-May-20
http://creativewebsiteandgraphics.com,Freelancer work at home,10-May-20
microshoft mcc,Computer Programmer,10-May-20
HCL Technologies Pvt Ltd,Senior Executive - Project Management,10-May-20
ProxyPrep,Co-Founder,10-May-20
EdAuthority,Technical Content Writer ,10-May-20
Microsoft,Microsoft Student Ambassador - Beta,10-May-20
HCL Technologies,Senior Analyst,10-May-20
Microsoft,Microsoft Students Partner,10-May-20
Nuvolo,Servicenow Implementation Specialist,10-May-20
D.V.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,"HOD, assoc. professor",10-May-20
Tata Consultancy Services,Senior Data Engineer,10-May-20
Informatica,Associate Software Engineer - R&D,10-May-20
Tata Elxsi,Software Engineer,10-May-20
Times Internet,Mobile Developer Intern,10-May-20
Sonata Software,Trainee Technology Specialist ,10-May-20
Yog Business Solutions ,Staffing Partner,10-May-20
Dell Technologies,SDE-2,10-May-20
Winuall,Product Design Intern,10-May-20
ZestMoney,SDET,10-May-20
Draup,Associate Research Executive ,10-May-20
GENERAL DATUM,Trainee Engineer,10-May-20
AiRobosoft products and services, Machine Learning with Robotics Language Automation Intern,10-May-20
Futurenet Technologies (india) Private Limited,AI-Presales Executive,10-May-20
,,10-May-20
SecurEyes,HR Executive ,10-May-20
Infosys,Technology Analyst,10-May-20
Microlink Solutions Pvt. Ltd.,Sr. Server Engineer (AWS Solutions Architect),10-May-20
"DoMS, IIT Roorkee",Promotion Associate,10-May-20
hackwhat,Founder,10-May-20
Vokal India,Acquisition Specialist,10-May-20
Nykaa,Software Engineer,10-May-20
Microsoft,Microsoft Learn Student Ambassador,10-May-20
HCL Technologies,Tech Lead(Senior iOS Developer) at HCL Technologies,10-May-20
,,10-May-20
"Vidhyavardhaka College of Engineering, Mysore","Associate Professor, Dept. of  Computer Science and Engineering",10-May-20
Cognizant,Programmer Analyst in Automation Testing,10-May-20
Confidential,Full-Stack Developer,10-May-20
ENIQUE Solutions ®,Integration Consultant,10-May-20
Accenture,Management Consulting Analyst,10-May-20
GirlCode,Co-Founder,10-May-20
J.P. Morgan,Software Associate,10-May-20
WomenTech Network,Co-founder & CEO,10-May-20
AVONTIX SOLUTIONS PRIVATE LIMITED,Sr. Manager Health Care,9-May-20
Impulesoft,Software Engineer,9-May-20
Ink in Caps,Human Resources Manager,9-May-20
Zoho Corporation,Web Developer,9-May-20
Gartner,Marketing Analytics Specialist,9-May-20
Amazon India,Area Manager,9-May-20
Black Box,Technical Specialist - Devops,9-May-20
Whacked Out ® Media Pte. Ltd.,Social Media Analyst,9-May-20
DevScript,Community Manager,9-May-20
Wipro Ltd. - India,Project Engineer,9-May-20
Novartis,Solutions Architect - AWS,9-May-20
Konstant Infosolutions Pvt Ltd,Business Development Executive,9-May-20
Information Affairs Authority “IAA” ,Information Affairs Authority “IAA” IT Technical Support ,9-May-20
VIT_Animation,Senior Core Committee Member,9-May-20
Evertz,Senior Project Engineer - File Based Solutions,9-May-20
Coforge,Senior Data Engineer,9-May-20
Tata Consultancy Services,Assistant Software Engineer,9-May-20
Atlassian,Engineering Manager,9-May-20
Maruti Suzuki India Limited,Project Trainee,9-May-20
JPMorgan Chase & Co.,Virtual Experience Internship,9-May-20
HINT APPS,App Developer,9-May-20
Citi,Program Analyst,9-May-20
Girlscript Chapter Bilaspur,Chapter Lead,9-May-20
HDFC Life,Business Development Manager,9-May-20
,,9-May-20
"Alcheringa, IIT Guwahati",Core Team,9-May-20
CodeBlend Labs Pvt Ltd,Founder & CEO,9-May-20
Tata Projects,Assistant Manager,9-May-20
"Ferns N Petals Pvt. Ltd - flowers, anywhere, anytime...",Software Engineer,9-May-20
Google Crowdsource ,Freelance Contributor,9-May-20
,,9-May-20
Alphaa AI,Fellowship,9-May-20
Schneider Electric,Senior Software Engineer ( IoT ) ,9-May-20
Credit Suisse,"Treasury Quant - Sales, Trading and Risk Analytics",9-May-20
DOCUBYTE SOFTWARE SOLUTIONS PVT LTD,Director & BDM,9-May-20
Capgemini,Analyst,9-May-20
Fame Technologies,Content Writer,9-May-20
Cleartrip.com,Software Engineer- RPA,9-May-20
CGI,Senior Software Engineer,9-May-20
Self employed,Hardware Networking Engineer,9-May-20
CGI,Lead Analyst,9-May-20
Ciena,Embedded Software Engineer 2A,9-May-20
,,9-May-20
,,9-May-20
Udacity,Technical and Student Mentor ,9-May-20
Accenture,Application Development Analyst,9-May-20
Addverb,Android Developer,9-May-20
DEV Community,Author,9-May-20
Skibre ,Co-Founder and CTO ,9-May-20
ICICI Securities,Equity Advisor,9-May-20
Virsec Systems,Intern,9-May-20
Self Employed,Financial Services Consultant,9-May-20
Clover Ventures ,Software Development Intern,9-May-20
IMG Global Infotech Private Limited,Web Designer,9-May-20
Mindtree,Skype Operations Engineer,9-May-20
Zoho Corporation,Member Technical Staff (Windows Application Developer),9-May-20
Future Focus Infotech Private Limited,Manager - Delivery,9-May-20
OpenText,Software Engineer,9-May-20
GGK Tech,Software Engineer,9-May-20
my digital zone,Chief Executive Officer,9-May-20
CodeBlend Labs Pvt. Ltd.,Senior Web Developer,9-May-20
Udacity,Intel Edge AI Tech. Scholar,9-May-20
TAC Security,work as cybersecurity analyst ,9-May-20
BYJU'S,Business Development Associate,9-May-20
,,9-May-20
SAPL,Senior Excutive Information Technology ,9-May-20
Intel Corporation,Graphics software engineer,9-May-20
FinacPlus,MEAN Stack and REACT Developer,9-May-20
Wipro Limited,Drupal Developer L2,9-May-20
Campus24,Marketing Outreach Coordinator,9-May-20
ARTH - The School of Technologies,ARTH Learner,9-May-20
Tata Consultancy Services,Developer,9-May-20
Oracle,Senior Software Engineer,9-May-20
